gene_id	gene_name	wt_cort1_jcoffman001	wt_cort2_jcoffman001	wt_cort3_jcoffman001	wt_veh1_jcoffman001	wt_veh2_jcoffman001	wt_veh3_jcoffman001
ENSDARG00000000001	slc35a5	113	198	213	134	170	169
ENSDARG00000000002	ccdc80	310	528	430	332	369	454
ENSDARG00000000018	nrf1	862	1458	1174	969	1231	1205
ENSDARG00000000019	ube2h	3308	5209	3776	3525	4344	4219
ENSDARG00000000068	nherf1a	1273	2176	1527	1357	1438	1651
ENSDARG00000000069	dap	2670	4376	3749	3483	3737	3943
ENSDARG00000000086	itsn1	1027	1666	809.001	1066.999	1549	1392
ENSDARG00000000103	myh10	2500.491	4123	2740	2930	3854.467	3723
ENSDARG00000000142	tmem267	199	361	224	276	273	369
ENSDARG00000000151	thraa	153	223	148	151	181	189
ENSDARG00000000161	itsn2a	282	473	283	329	411	379
ENSDARG00000000175	hoxb2a	196	298	276	229	261	261
ENSDARG00000000183	ptpn4b	749	1124	746	767	1083	926
ENSDARG00000000189	sema6cb	830.652	1434.154	947.105	955.491	1324.314	1303.339
ENSDARG00000000212	krt97	14720.548	24749.591	25821.26	23587.083	22126.183	24936.227
ENSDARG00000000229	usp49	400	598	368	452	511	513
ENSDARG00000000241	slc40a1	3455	5170	4421	4147	4261	4583
ENSDARG00000000324	dcaf8	458	803	457	452	638	611
ENSDARG00000000349	cfap300	25	29	37	29	23	37
ENSDARG00000000369	prkag3b	222	398	440	308	231	300
ENSDARG00000000370	triob	957	1364	698	904	1375	1171
ENSDARG00000000380	pde6a	644.666	988.327	587.322	557.222	803.147	641.788
ENSDARG00000000394	matr3l1.2	1723	2676	1910	2009	2502	2392
ENSDARG00000000423	si:ch73-314g15.3	104	152	149	153	150	178
ENSDARG00000000442	slc39a13	566	866	880	764	728	807
ENSDARG00000000460	nitr2b	7	15	33	11	19.949	18
ENSDARG00000000472	cntn2	374	602	311	447	614	546
ENSDARG00000000474	tnni1a	6	8	20	9	12	16
ENSDARG00000000476	pms1	138	229	204	163	191	197
ENSDARG00000000489	upf3b	939	1636	1450	1171	1189	1397
ENSDARG00000000503	stx1b	7275	10451	5074	5651	12372	8169
ENSDARG00000000516	ankar	8	8	10	7	12	4
ENSDARG00000000529	ofd1	165	267	206	204	253	229
ENSDARG00000000540	asnsd1	518	936	876	673	719	851
ENSDARG00000000542	gtf2e1	377	577.001	456.001	405.001	474	506.001
ENSDARG00000000551	slc1a4	599	882	650	750	857	846
ENSDARG00000000563	ttn.1	4262.996	9309.359	5360.937	5291.26	5651.898	7314.975
ENSDARG00000000567	znf281a	667	1156	699	773	1001	980
ENSDARG00000000568	ell	976	1607.001	1397	1111.001	1245	1396
ENSDARG00000000588	tamalin	216	321	349	250	260	282
ENSDARG00000000606	dnah6	57	77	76	71	95	76
ENSDARG00000000631	ptpn4a	973.001	1642	1198	1174.001	1407	1324
ENSDARG00000000638	opn1mw4	0	0	0	0	0	0
ENSDARG00000000651	osgepl1	46	79	76	74	79	68
