transcript_id	gene_id	gene_name
ENSDART00000159919	ENSDARG00000103202	si:dkey-199m13.10
ENSDART00000021139	ENSDARG00000009657	fgfr1op2
ENSDART00000144356	ENSDARG00000009657	fgfr1op2
ENSDART00000151837	ENSDARG00000096472	si:dkey-285e18.1
ENSDART00000150764	ENSDARG00000096156	si:dkey-21h14.11
ENSDART00000112071	ENSDARG00000076160	si:dkey-285e18.2
ENSDART00000110319	ENSDARG00000076160	si:dkey-285e18.2
ENSDART00000158444	ENSDARG00000117163	znf1114
ENSDART00000150600	ENSDARG00000096187	si:dkey-21h14.10
ENSDART00000148440	ENSDARG00000076014	ERC1
ENSDART00000027829	ENSDARG00000076014	ERC1
ENSDART00000159935	ENSDARG00000098876	si:dkey-199m13.5
ENSDART00000138653	ENSDARG00000031930	erc1b
ENSDART00000132647	ENSDARG00000031930	erc1b
ENSDART00000151985	ENSDARG00000096435	si:dkey-285e18.3
ENSDART00000164555	ENSDARG00000103471	zgc:173716
ENSDART00000151975	ENSDARG00000093665	si:dkey-285e18.5
ENSDART00000152047	ENSDARG00000098144	si:dkey-285e18.6
ENSDART00000144074	ENSDARG00000093658	tm7sf3
ENSDART00000140613	ENSDARG00000095324	galnt8b.2
ENSDART00000147711	ENSDARG00000095324	galnt8b.2
ENSDART00000151978	ENSDARG00000098510	zgc:174650
ENSDART00000157551	ENSDARG00000098510	zgc:174650
ENSDART00000027919	ENSDARG00000021336	pax4
ENSDART00000145069	ENSDARG00000094646	dyrk2
ENSDART00000067152	ENSDARG00000094646	dyrk2
ENSDART00000186116	ENSDARG00000094646	dyrk2
ENSDART00000172552	ENSDARG00000094646	dyrk2
ENSDART00000039277	ENSDARG00000021595	lhfpl3
ENSDART00000150419	ENSDARG00000096039	ENSDARG00000096039
ENSDART00000150287	ENSDARG00000096039	ENSDARG00000096039
ENSDART00000150250	ENSDARG00000096153	si:dkey-21h14.9
ENSDART00000150390	ENSDARG00000095200	si:ch211-197e7.1
ENSDART00000190636	ENSDARG00000095200	si:ch211-197e7.1
ENSDART00000185457	ENSDARG00000095200	si:ch211-197e7.1
ENSDART00000152052	ENSDARG00000096463	si:dkeyp-82h4.1
ENSDART00000151964	ENSDARG00000096463	si:dkeyp-82h4.1
ENSDART00000129627	ENSDARG00000102062	si:dkeyp-82h4.3
ENSDART00000163401	ENSDARG00000102062	si:dkeyp-82h4.3
ENSDART00000151912	ENSDARG00000090116	znf1136
ENSDART00000137775	ENSDARG00000090116	znf1136
ENSDART00000162065	ENSDARG00000102464	wnt5b
ENSDART00000165181	ENSDARG00000102464	wnt5b
ENSDART00000186829	ENSDARG00000102464	wnt5b
ENSDART00000151880	ENSDARG00000095149	znf1062
ENSDART00000152116	ENSDARG00000095149	znf1062
ENSDART00000131561	ENSDARG00000095149	znf1062
ENSDART00000140366	ENSDARG00000092714	si:ch211-266a5.12
ENSDART00000151846	ENSDARG00000112103	zgc:173721
ENSDART00000164388	ENSDARG00000112103	zgc:173721
ENSDART00000151872	ENSDARG00000096462	si:dkeyp-82h4.2
ENSDART00000067322	ENSDARG00000045801	fbxl14b
ENSDART00000154722	ENSDARG00000096855	si:ch73-211c7.2
ENSDART00000169290	ENSDARG00000104074	znf1052
ENSDART00000153821	ENSDARG00000097754	si:ch211-285d14.9
ENSDART00000139399	ENSDARG00000095103	si:ch211-285d14.1
ENSDART00000144048	ENSDARG00000015623	ada2b
ENSDART00000190664	ENSDARG00000015623	ada2b
ENSDART00000169859	ENSDARG00000101202	si:dkey-178j11.2p
ENSDART00000142393	ENSDARG00000102559	si:dkey-178j11.3
ENSDART00000141715	ENSDARG00000102559	si:dkey-178j11.3
ENSDART00000050221	ENSDARG00000030694	atp6v1e1b
ENSDART00000136885	ENSDARG00000093168	si:ch211-285d14.2
ENSDART00000144611	ENSDARG00000093983	si:ch211-285d14.3
ENSDART00000148164	ENSDARG00000093983	si:ch211-285d14.3
ENSDART00000075320	ENSDARG00000030598	nampt1
ENSDART00000132479	ENSDARG00000092097	si:ch211-285d14.4
ENSDART00000184989	ENSDARG00000113342	si:ch211-285d14.5
ENSDART00000153521	ENSDARG00000097811	si:ch211-42i6.1
ENSDART00000155980	ENSDARG00000097811	si:ch211-42i6.1
ENSDART00000184467	ENSDARG00000116640	si:ch211-285d14.6
ENSDART00000188941	ENSDARG00000113663	ENSDARG00000113663
ENSDART00000158528	ENSDARG00000101775	zgc:172014
ENSDART00000169519	ENSDARG00000101775	zgc:172014
ENSDART00000144263	ENSDARG00000112642	si:dkey-18o7.3
ENSDART00000150746	ENSDARG00000090160	zgc:173709
ENSDART00000157941	ENSDARG00000090160	zgc:173709
ENSDART00000190750	ENSDARG00000090160	zgc:173709
ENSDART00000190248	ENSDARG00000090160	zgc:173709
ENSDART00000185921	ENSDARG00000090160	zgc:173709
ENSDART00000183761	ENSDARG00000090160	zgc:173709
ENSDART00000142389	ENSDARG00000045758	cracr2ab
ENSDART00000067264	ENSDARG00000045758	cracr2ab
ENSDART00000151948	ENSDARG00000096491	si:ch211-73m21.1
ENSDART00000154060	ENSDARG00000097971	si:ch211-152l15.1
ENSDART00000059489	ENSDARG00000045760	prmt8b
ENSDART00000188854	ENSDARG00000045760	prmt8b
ENSDART00000193393	ENSDARG00000045760	prmt8b
ENSDART00000151996	ENSDARG00000096484	si:ch211-181p13.2
ENSDART00000044043	ENSDARG00000031346	rbm17
ENSDART00000142276	ENSDARG00000031346	rbm17
ENSDART00000186524	ENSDARG00000031346	rbm17
ENSDART00000134720	ENSDARG00000024211	ifng1
ENSDART00000151944	ENSDARG00000096461	si:ch211-73m21.2
ENSDART00000151877	ENSDARG00000096461	si:ch211-73m21.2
ENSDART00000125071	ENSDARG00000099327	si:ch1073-410j4.2
ENSDART00000158504	ENSDARG00000099327	si:ch1073-410j4.2
ENSDART00000182521	ENSDARG00000099327	si:ch1073-410j4.2
ENSDART00000023894	ENSDARG00000017661	braf
ENSDART00000132650	ENSDARG00000017661	braf
ENSDART00000048391	ENSDARG00000017661	braf
ENSDART00000123369	ENSDARG00000007523	kmt2e
ENSDART00000066903	ENSDARG00000007523	kmt2e
ENSDART00000130072	ENSDARG00000007523	kmt2e
ENSDART00000067153	ENSDARG00000045671	ifng1r
ENSDART00000067154	ENSDARG00000045672	il26
ENSDART00000165945	ENSDARG00000098115	si:dkey-178j11.5
ENSDART00000184557	ENSDARG00000098115	si:dkey-178j11.5
ENSDART00000150428	ENSDARG00000091561	si:dkey-156k2.4
ENSDART00000186050	ENSDARG00000091561	si:dkey-156k2.4
ENSDART00000032460	ENSDARG00000026839	med21
ENSDART00000121664	ENSDARG00000088961	zgc:173620
ENSDART00000140833	ENSDARG00000089179	si:dkey-156k2.1
ENSDART00000166894	ENSDARG00000089179	si:dkey-156k2.1
ENSDART00000150854	ENSDARG00000093424	znf1135
ENSDART00000157670	ENSDARG00000101374	si:dkey-11n14.1
ENSDART00000166459	ENSDARG00000101374	si:dkey-11n14.1
ENSDART00000134357	ENSDARG00000101374	si:dkey-11n14.1
ENSDART00000187247	ENSDARG00000101374	si:dkey-11n14.1
ENSDART00000150388	ENSDARG00000088616	si:ch211-152l15.2
ENSDART00000163146	ENSDARG00000088616	si:ch211-152l15.2
ENSDART00000162310	ENSDARG00000088616	si:ch211-152l15.2
ENSDART00000100952	ENSDARG00000045544	hgfa
ENSDART00000066964	ENSDARG00000045544	hgfa
ENSDART00000167727	ENSDARG00000115818	znf1099
ENSDART00000153696	ENSDARG00000077356	sypl1
ENSDART00000153834	ENSDARG00000077356	sypl1
ENSDART00000067155	ENSDARG00000045673	il22
ENSDART00000156847	ENSDARG00000097907	ENSDARG00000097907
ENSDART00000077664	ENSDARG00000012684	atp2b1a
ENSDART00000128079	ENSDARG00000012684	atp2b1a
ENSDART00000143042	ENSDARG00000093557	lnc.394
ENSDART00000136445	ENSDARG00000092583	si:dkey-16p19.5
ENSDART00000168768	ENSDARG00000101849	adipor2
ENSDART00000182726	ENSDARG00000101849	adipor2
ENSDART00000150403	ENSDARG00000091477	znf1066
ENSDART00000182141	ENSDARG00000091477	znf1066
ENSDART00000172541	ENSDARG00000113005	si:dkey-47k16.4
ENSDART00000102010	ENSDARG00000045675	mdm1
ENSDART00000132971	ENSDARG00000045675	mdm1
ENSDART00000134783	ENSDARG00000045675	mdm1
ENSDART00000150644	ENSDARG00000096065	si:dkey-156k2.7
ENSDART00000164600	ENSDARG00000099699	si:dkey-11n14.2
